Body Class,2020_Number,2020_Percent,2021_Number,2021_Percent,2022_Number,2022_Percent,2023_Number,2023_Percent
,,,,,,,,
Total,54552,100,61802,100,60765,100,58319,100
Passenger Cars,19186,35.2,21333,34.5,20172,33.2,18778,32.2
Convertible,458,0.8,474,0.8,429,0.7,430,0.7
Sedan,15146,27.8,16899,27.3,15855,26.1,14815,25.4
Coupe,1826,3.3,1840,3,1785,2.9,1629,2.8
Hatchback,1459,2.7,1806,2.9,1797,3,1623,2.8
Wagon,297,0.5,314,0.5,306,0.5,281,0.5
Light Trucks,22440,41.1,25871,41.9,25911,42.6,25336,43.4
Utility,11817,21.7,13793,22.3,14167,23.3,13996,24
Minivan,1057,1.9,1227,2,1162,1.9,1137,1.9
Cargo Van,403,0.7,553,0.9,525,0.9,504,0.9
Step Van,2,0,2,0,2,0,2,0
Other Van Type,346,0.6,408,0.7,367,0.6,323,0.6
Light Pickup,8787,16.1,9877,16,9675,15.9,9366,16.1
Other Light Truck,28,0.1,11,0,13,0,8,0
Large Trucks,4821,8.8,5733,9.3,5873,9.7,5375,9.2
Cargo Van,36,0.1,38,0.1,1,0,1,0
Step Van,22,0,23,0,30,0,25,0
Other Van Type,35,0.1,26,0,32,0.1,24,0
Large Pickup,563,1,738,1.2,34,0.1,42,0.1
Single--Unit Truck,1258,2.3,1413,2.3,772,1.3,741,1.3
Truck Tractor,2907,5.3,3449,5.6,1506,2.5,1303,2.2
Motorcycles,5758,10.6,46,0.1,3442,5.7,3193,5.5
2--Wheel Motorcycle (excluding Motor Scooters),5113,9.4,6301,10.2,56,0.1,46,0.1
Moped,34,0.1,5533,9,6392,10.5,6432,11
Motorized Bicycle,32,0.1,50,0.1,5716,9.4,5729,9.8
3--Wheel Motorcycle (2 Rear Wheels),57,0.1,44,0.1,43,0.1,42,0.1
Off--Road Motorcycles,119,0.2,78,0.1,77,0.1,72,0.1
Unenclosed 3--Wheel Motorcycle/Unenclosed Autocycle (1 Rear Wheel),38,0.1,172,0.3,141,0.2,140,0.2
Motor Scooter,253,0.5,63,0.1,46,0.1,65,0.1
"Other Motored Cycle Type (Mini--Bikes, Pocket Bikes)",10,0,265,0.4,248,0.4,254,0.4
Unknown Motored Cycle Type,102,0.2,15,0,22,0,17,0
Buses,165,0.3,81,0.1,99,0.2,113,0.2
School Bus,49,0.1,205,0.3,213,0.4,244,0.4
Intercity Bus,13,0,81,0.1,91,0.1,97,0.2
Transit Bus,81,0.1,17,0,14,0,14,0
Other Bus,22,0,78,0.1,73,0.1,100,0.2
Other/Unknown Vehicle Types,2182,4,29,0,35,0.1,33,0.1
Limousine,1,0,2359,3.8,2204,3.6,2154,3.7
Motorhome,37,0.1,1,0,51,0.1,47,0.1
All--Terrain Vehicle,337,0.6,49,0.1,266,0.4,239,0.4
Recreational Off--Road Vehice,217,0.4,302,0.5,209,0.3,236,0.4
Snowmobile,7,0,211,0.3,15,0,11,0
Farm Equipment,99,0.2,12,0,91,0.1,76,0.1
Construction Equipment,12,0,101,0.2,13,0,15,0
Low--Speed Vehicle,3,0,19,0,6,0,4,0
Golf Cart,18,0,3,0,23,0,33,0.1
Other Vehicle,89,0.2,30,0,3,0,3,0
Unknown Vehicle Type,1362,2.5,1,0,74,0.1,114,0.2
,,,89,0.1,1453,2.4,1376,2.4
,,,1541,2.5,,,,